problemName,vehicleFileID,cutoffTime,problemType,problemTypeString,numUAVs,numTrucks,requireTruckAtDepot,requireDriver,Etype,ITER,runString,numCustomers,timestamp,ofv,bestBound,totalTime,isOptimal,numUAVcust,numTruckCust,waitingTruck,waitingUAV
20170606T114145593946, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:30:24, 10488.274091, -1.000000, 197.331852, False, 30, 20, 2580.000000, 13093.881867 
20170606T123654604464, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:30:43, 7985.733540, -1.000000, 285.776667, False, 27, 23, 2373.702463, 4238.100278 
20170608T121632668184, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:32:41, 4034.151381, -1.000000, 286.436726, False, 4, 6, 391.106242, 319.224731 
20170608T121632668184, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:32:41, 2973.988160, -1.000000, 286.683242, False, 7, 3, 570.000000, 1029.233311 
20170608T121632668184, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:32:42, 3007.087562, -1.000000, 286.931102, False, 6, 4, 540.000000, 2352.189141 
20170608T121632668184, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:32:42, 3007.087562, -1.000000, 287.401221, False, 6, 4, 540.000000, 2262.189141 
20170606T123921635977, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:27:57, 8046.418241, -1.000000, 303.075413, False, 32, 18, 2793.489841, 7970.293737 
20170606T123513473544, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:32:42, 9400.897952, -1.000000, 304.247714, False, 18, 32, 1873.330864, 2222.802400 
20170606T123654604464, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:31:13, 7937.239294, -1.000000, 342.579265, False, 33, 17, 2849.999999, 10019.155799 
20170606T123513473544, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:32:59, 8332.195118, -1.000000, 349.492060, False, 29, 21, 2609.999999, 6482.440796 
20170608T122103536027, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:33:45, 1477.110969, -1.000000, 349.969048, False, 1, 9, 90.000000, 28.506803 
20170608T122103536027, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:33:45, 1477.110969, -1.000000, 350.079919, False, 1, 9, 90.000000, 28.506803 
20170608T122103536027, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:33:45, 1477.110969, -1.000000, 350.234655, False, 1, 9, 90.000000, 28.506803 
20170608T122103536027, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:33:45, 1477.110969, -1.000000, 350.371197, False, 1, 9, 90.000000, 28.506803 
20170606T113251786976, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:33:45, 8854.840117, -1.000000, 351.596031, False, 11, 14, 1016.805063, 1225.387279 
20170606T113251786976, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:33:47, 7444.206536, -1.000000, 354.437082, False, 16, 9, 1410.000000, 3890.317846 
20170606T113251786976, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:33:49, 7157.586946, -1.000000, 356.614884, False, 17, 8, 1470.000000, 5019.980705 
20170606T113251786976, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:33:52, 6954.006888, -1.000000, 359.137966, False, 17, 8, 1500.000000, 5451.270791 
